participant,condition,value
17,C,48.412698
17,A,38.690476
17,B,38.888889
17,C,46.230159
18,A,0.0
18,B,33.531746
18,C,0.0
18,A,25.396825
18,B,38.293651
18,C,25.396825
18,A,38.888889
18,B,13.690476
18,C,28.373016
18,A,20.436508
18,B,10.31746
18,C,42.65873
19,A,16.865079
19,B,39.68254
19,C,31.150794
19,A,25.793651
19,B,63.888889
19,C,40.277778
19,A,47.420635
19,B,21.031746
19,C,24.404762
19,A,49.007937
19,B,50.793651
19,C,28.769841
20,A,71.230159
20,B,51.984127
20,C,61.309524
20,A,0.0
20,B,73.015873
20,C,67.460317
20,A,67.857143
20,B,73.412698
20,C,70.833333
20,A,70.436508
20,B,74.603175
20,C,67.65873
21,A,23.809524
21,B,36.507937
21,C,74.007937
21,A,66.666667
21,B,30.555556
21,C,9.722222
21,A,10.119048
21,B,32.738095
21,C,18.253968
21,A,92.460317
21,B,36.111111
21,C,8.928571
22,A,100.0
22,B,100.0
22,C,100.0
22,A,100.0
22,B,89.351852
22,C,93.287037
22,A,88.888889
22,B,86.805556
22,C,100.0
22,A,74.537037
22,B,93.981481
22,C,84.953704
23,A,0.0
23,B,15.972222
23,C,0.0
23,A,13.425926
23,B,14.351852
23,C,0.0
23,A,5.555556
23,B,0.0
23,C,0.0
23,A,0.0
23,B,0.0
23,C,0.0
24,A,76.190476
24,B,82.738095
24,C,83.134921
24,A,78.571429
24,B,81.547619
24,C,84.722222
24,A,77.18254
24,B,83.928571
24,C,96.626984
24,A,81.150794
24,B,82.34127
24,C,90.277778
27,A,0.0
27,B,0.0
27,C,0.0
27,A,0.0
27,B,0.0
27,C,0.0
27,A,0.0
27,B,0.0
27,C,0.0
27,A,0.0
27,B,0.0
27,C,0.0
29,A,6.349206
29,B,0.0
29,C,6.349206
29,A,2.579365
29,B,4.365079
29,C,16.071429
29,A,0.0
29,B,0.0
29,C,0.0
29,A,18.650794
29,B,0.0
29,C,0.0
30,A,62.698413
30,B,56.547619
30,C,20.833333
30,A,58.333333
30,B,27.18254
30,C,41.468254
30,A,58.730159
30,B,43.253968
30,C,49.801587
30,A,57.738095
30,B,54.563492
30,C,58.531746
31,A,73.412698
31,B,61.507937
31,C,60.31746
31,A,70.436508
31,B,27.97619
31,C,28.769841
31,A,69.642857
31,B,37.698413
31,C,74.801587
31,A,76.587302
31,B,65.674603
31,C,61.507937
32,A,16.269841
32,B,48.611111
32,C,3.769841
32,A,12.896825
32,B,11.309524
32,C,9.52381
32,A,8.928571
32,B,19.246032
32,C,3.571429
32,A,3.373016
32,B,100.0
32,C,3.174603
33,A,50.0
33,B,47.420635
33,C,59.52381
33,A,36.309524
33,B,64.880952
33,C,50.0
33,A,52.18254
33,B,63.690476
33,C,67.65873
33,A,60.515873
33,B,43.650794
33,C,57.539683
34,A,32.142857
34,B,0.0
34,C,0.0
34,A,0.0
34,B,14.484127
34,C,60.119048
34,A,39.68254
34,B,0.0
34,C,0.0
34,A,0.0
34,B,0.0
34,C,0.0
35,A,53.703704
35,B,50.0
35,C,59.490741
35,A,55.555556
35,B,65.509259
35,C,51.62037
35,A,54.398148
35,B,54.62963
35,C,53.472222
35,A,54.62963
35,B,52.546296
35,C,51.62037
36,A,64.484127
36,B,70.238095
36,C,70.039683
36,A,72.420635
36,B,65.079365
36,C,80.15873
36,A,61.309524
36,B,85.31746
36,C,74.007937
36,A,76.587302
36,B,74.801587
36,C,79.166667
37,A,82.175926
37,B,34.722222
37,C,74.768519
37,A,69.444444
37,B,70.37037
37,C,70.601852
37,A,67.12963
37,B,57.87037
37,C,79.62963
37,A,74.074074
37,B,43.981481
37,C,32.175926
38,A,2.18254
38,B,3.769841
38,C,5.357143
38,A,4.365079
38,B,3.571429
38,C,0.793651
38,A,33.134921
38,B,2.97619
38,C,0.0
38,A,7.142857
38,B,3.769841
38,C,2.97619
39,A,0.0
39,B,0.0
39,C,0.0
39,A,0.0
39,B,0.0
39,C,0.0
39,A,0.0
39,B,0.0
39,C,0.0
39,A,0.0
39,B,0.0
39,C,0.0
40,A,63.888889
40,B,40.674603
40,C,16.269841
40,A,56.944444
40,B,15.873016
40,C,55.357143
40,A,73.214286
40,B,14.087302
40,C,21.230159
40,A,16.666667
40,B,14.880952
40,C,9.325397
42,A,67.12963
42,B,14.351852
42,C,21.064815
42,A,65.509259
42,B,71.064815
42,C,0.0
42,A,62.5
42,B,15.740741
42,C,59.490741
42,A,60.416667
42,B,60.185185
42,C,61.342593
43,A,19.84127
43,B,100.0
43,C,65.079365
43,A,33.531746
43,B,78.571429
43,C,20.634921
43,A,66.071429
43,B,66.865079
43,C,74.404762
43,A,75.198413
43,B,71.031746
43,C,71.825397
44,A,83.333333
44,B,54.563492
44,C,67.460317
44,A,72.222222
44,B,71.230159
44,C,67.460317
44,A,59.126984
44,B,78.174603
44,C,51.388889
44,A,59.126984
44,B,42.063492
44,C,0.0
45,A,39.12037
45,B,74.768519
45,C,35.648148
45,A,34.490741
45,B,56.944444
45,C,59.490741
45,A,33.796296
45,B,67.592593
45,C,22.222222
45,A,70.833333
45,B,23.611111
45,C,41.898148
46,A,87.037037
46,B,84.722222
46,C,71.527778
46,A,67.824074
46,B,65.046296
46,C,87.268519
46,A,76.157407
46,B,68.518519
46,C,69.444444
46,A,81.481481
46,B,77.314815
46,C,53.935185
47,A,25.396825
47,B,33.333333
47,C,60.515873
47,A,6.150794
47,B,11.111111
47,C,16.666667
47,A,22.81746
47,B,15.873016
47,C,23.809524
47,A,28.373016
47,B,29.761905
47,C,32.34127
48,A,62.5
48,B,58.730159
48,C,28.571429
48,A,74.007937
48,B,60.912698
48,C,39.880952
48,A,56.944444
48,B,42.460317
48,C,30.555556
48,A,65.277778
48,B,54.563492
48,C,58.134921
49,A,62.268519
49,B,60.185185
49,C,90.277778
49,A,56.481481
49,B,31.018519
49,C,27.083333
49,A,58.101852
49,B,71.064815
49,C,62.962963
49,A,64.12037
49,B,60.87963
49,C,65.509259
50,A,73.611111
50,B,60.185185
50,C,74.537037
50,A,67.361111
50,B,59.953704
50,C,50.925926
50,A,63.657407
50,B,69.907407
50,C,58.796296
50,A,59.722222
50,B,59.490741
50,C,66.435185
51,A,70.833333
51,B,83.928571
51,C,77.380952
51,A,65.277778
51,B,64.484127
51,C,67.857143
51,A,67.063492
51,B,63.095238
51,C,52.777778
51,A,75.793651
51,B,54.960317
51,C,55.753968
52,A,28.472222
52,B,31.018519
52,C,37.037037
52,A,81.018519
52,B,50.0
52,C,31.25
52,A,64.583333
52,B,65.972222
52,C,65.046296
52,A,21.527778
52,B,74.768519
52,C,24.074074
53,A,50.396825
53,B,50.0
53,C,50.992063
53,A,50.0
53,B,50.0
53,C,50.0
53,A,50.0
53,B,48.412698
53,C,50.0
53,A,50.0
53,B,50.0
53,C,50.0
