"",region,group,fertility,ppgdp,lifeExpF,pctUrban,infantMortality
Colombia,Latin Amer,other,2.293,6222.8,77.69,75.0,16.671
Comoros,Africa,africa,4.742,736.6,63.18,28.0,62.83
Congo,Africa,africa,4.442,2665.1,59.33,63.0,66.738
Cook Islands,Oceania,other,2.53080628409411,12212.1,76.2454672361809,76.0,11.5517876766323
Costa Rica,Latin Amer,other,1.812,7703.8,81.99,65.0,9.172
Cote dIvoire,Africa,africa,4.224,1154.1,57.71,51.0,68.845
Croatia,Europe,other,1.501,13819.5,80.37,58.0,5.571
Cuba,Caribbean,other,1.451,5704.4,81.33,75.0,4.959
Cyprus,Asia,other,1.458,28364.3,82.14,71.0,4.434
Czech Republic,Europe,oecd,1.501,18838.8,81.0,74.0,2.997
Democratic Republic of the Congo,Africa,africa,5.485,200.6,50.56,36.0,109.477
Denmark,Europe,oecd,1.885,55830.2,81.37,87.0,3.914
Djibouti,Africa,africa,3.589,1282.6,60.04,76.0,74.95
Dominican Republic,Caribbean,other,2.49,5195.4,76.57,70.0,21.589
Timor Leste,Asia,other,5.918,706.1,64.2,29.0,56.499
Ecuador,Latin Amer,other,2.393,4072.6,78.91,68.0,19.07
Egypt,Africa,africa,2.636,2653.7,75.52,44.0,22.029
El Salvador,Latin Amer,other,2.171,3425.6,77.09,65.0,19.007
Equatorial Guinea,Africa,africa,4.98,16852.4,52.91,40.0,93.315
Eritrea,Africa,africa,4.243,429.1,64.41,22.0,47.508
Estonia,Europe,oecd,1.702,14135.4,79.95,70.0,4.382
Ethiopia,Africa,africa,3.848,324.6,61.59,17.0,62.902
Fiji,Oceania,other,2.602,3545.7,72.27,52.0,17.216
Finland,Europe,oecd,1.875,44501.7,83.28,85.0,2.783
France,Europe,oecd,1.987,39545.9,84.9,86.0,3.345
French Polynesia,Oceania,other,2.033,24669.0,78.07,51.0,7.159
Gabon,Africa,africa,3.195,12468.8,64.32,86.0,43.77
Gambia,Africa,africa,4.689,579.1,60.3,59.0,66.374
Georgia,Asia,other,1.528,2680.3,77.31,53.0,25.585
Germany,Europe,oecd,1.457,39857.1,82.99,74.0,3.487
Ghana,Africa,africa,3.988,1333.2,65.8,52.0,43.867
Greece,Europe,oecd,1.54,26503.8,82.58,62.0,4.488
Grenada,Caribbean,other,2.171,7429.0,77.72,40.0,13.042
Guatemala,Latin Amer,other,3.84,2882.3,75.1,50.0,26.269
Guinea,Africa,africa,5.032,427.5,56.39,36.0,84.176
Guinea-Bissau,Africa,africa,4.877,539.4,50.4,30.0,109.818
Guyana,Latin Amer,other,2.19,2996.0,73.45,29.0,36.83
Haiti,Caribbean,other,3.159,612.7,63.87,54.0,58.26
Honduras,Latin Amer,other,2.996,2026.2,75.92,52.0,23.515
Hong Kong,Asia,other,1.137,31823.7,86.35,100.0,2.026
Hungary,Europe,oecd,1.43,12884.0,78.47,68.0,5.304
Iceland,Europe,other,2.098,39278.0,83.77,94.0,2.057
India,Asia,other,2.538,1406.4,67.62,30.0,47.894
Indonesia,Asia,other,2.055,2949.3,71.8,45.0,24.929
Iran,Asia,other,1.587,5227.1,75.28,71.0,23.385
Iraq,Asia,other,4.535,888.5,72.6,66.0,33.293
Ireland,Europe,oecd,2.097,46220.3,83.17,62.0,3.859
Israel,Asia,oecd,2.909,29311.6,84.19,92.0,3.347
Italy,Europe,oecd,1.476,33877.1,84.62,69.0,3.417
Jamaica,Caribbean,other,2.262,4899.0,75.98,52.0,22.023
Japan,Asia,oecd,1.418,43140.9,87.12,67.0,2.549
Jordan,Asia,other,2.889,4445.3,75.17,79.0,19.14
Kazakhstan,Asia,other,2.481,9166.7,72.84,59.0,23.716
Kenya,Africa,africa,4.623,801.8,59.16,23.0,58.142
Kiribati,Oceania,other,3.5,1468.2,63.1,44.0,52.0
Kuwait,Asia,other,2.251,45430.4,75.89,98.0,7.563
Kyrgyzstan,Asia,other,2.621,865.4,72.36,35.0,32.765
Laos,Asia,other,2.543,1047.6,69.42,34.0,36.809
Latvia,Europe,other,1.506,10663.0,78.51,68.0,6.7
Lebanon,Asia,other,1.764,9283.7,75.07,87.0,20.223
Lesotho,Africa,africa,3.051,980.7,48.11,28.0,62.103
Liberia,Africa,africa,5.038,218.6,58.59,48.0,76.853
Libya,Africa,africa,2.41,11320.8,77.86,78.0,13.248
Lithuania,Europe,other,1.495,10975.5,78.28,67.0,5.941
Luxembourg,Europe,oecd,1.683,105095.4,82.67,85.0,2.289
Macao,Asia,other,1.163,49990.2,83.8,100.0,4.13
Madagascar,Africa,africa,4.493,421.9,68.61,31.0,41.03
Malawi,Africa,africa,5.968,357.4,55.17,20.0,86.06
Malaysia,Asia,other,2.572,8372.8,76.86,73.0,6.88
Maldives,Asia,other,1.668,4684.5,78.7,41.0,8.07
Mali,Africa,africa,6.117,598.8,53.14,37.0,92.206
Malta,Europe,other,1.284,19599.2,82.29,95.0,5.405
Marshall Islands,Oceania,other,4.38446625852824,3069.4,70.6,72.0,21.0
Mauritania,Africa,africa,4.361,1131.1,60.95,42.0,69.93
Mauritius,Africa,africa,1.59,7488.3,76.89,42.0,12.112
Mexico,Latin Amer,oecd,2.227,9100.7,79.64,78.0,14.146
Micronesia,Oceania,other,3.307,2678.2,70.17,23.0,31.447
Moldova,Europe,other,1.45,1625.8,73.48,48.0,14.344
Mongolia,Asia,other,2.446,2246.7,72.83,63.0,30.705
Montenegro,Europe,other,1.63,6509.8,77.37,61.0,7.733
Morocco,Africa,africa,2.183,2865.0,74.86,59.0,28.502
Mozambique,Africa,africa,4.713,407.5,51.81,39.0,77.858
Myanmar,Asia,other,1.939,876.2,67.87,34.0,44.802
Namibia,Africa,africa,3.055,5124.7,63.04,39.0,29.761
Nauru,Oceania,other,3.3,6190.1,57.1,100.0,45.8
Nepal,Asia,other,2.587,534.7,70.05,19.0,32.013
Neth Antilles,Caribbean,other,1.9,20321.1,79.86,93.0,12.281
Netherlands,Europe,oecd,1.794,46909.7,82.79,83.0,4.168
New Caledonia,Oceania,other,2.091,35319.5,80.49,57.0,4.68
New Zealand,Oceania,oecd,2.135,32372.1,82.77,86.0,4.757
Nicaragua,Latin Amer,other,2.5,1131.9,77.45,58.0,18.315
Niger,Africa,africa,6.925,357.7,55.77,17.0,85.82
Nigeria,Africa,africa,5.431,1239.8,53.38,51.0,87.561
North Korea,Asia,other,1.988,504.0,72.12,60.0,25.053
Norway,Europe,oecd,1.948,84588.7,83.47,80.0,2.94
Oman,Asia,other,2.146,20791.0,76.44,73.0,8.414
Pakistan,Asia,other,3.201,1003.2,66.88,36.0,65.724
Palau,Oceania,other,2.0,10821.8,72.1,84.0,20.0752823086575
Palestinian Territory,Asia,other,4.27,1819.5,74.81,74.0,19.503
Panama,Latin Amer,other,2.409,7614.0,79.07,75.0,16.168
Papua New Guinea,Oceania,other,3.799,1428.4,65.52,13.0,44.474
Paraguay,Latin Amer,other,2.858,2771.1,74.91,62.0,27.375
Peru,Latin Amer,other,2.41,5410.7,76.9,77.0,18.273
Philippines,Asia,other,3.05,2140.1,72.57,49.0,20.886
Poland,Europe,oecd,1.415,12263.2,80.56,61.0,5.546
Portugal,Europe,oecd,1.312,21437.6,82.76,61.0,4.175
Puerto Rico,Caribbean,other,1.757,26461.0,83.2,99.0,7.243
Qatar,Asia,other,2.204,72397.9,78.24,96.0,8.195
Republic of Korea,Asia,other,1.389,21052.2,83.95,83.0,3.647
Romania,Europe,other,1.428,7522.4,77.95,58.0,12.216
Russian Federation,Europe,other,1.529,10351.4,75.01,73.0,10.534
Rwanda,Africa,africa,5.282,532.3,57.13,19.0,92.87
Saint Lucia,Caribbean,other,1.907,6677.1,77.54,28.0,12.26
Samoa,Oceania,other,3.763,3343.3,76.02,20.0,19.848
Sao Tome and Principe,Africa,africa,3.488,1283.3,66.48,63.0,47.486
Saudi Arabia,Asia,other,2.639,15835.9,75.57,82.0,16.202
Senegal,Africa,africa,4.605,1032.7,60.92,43.0,49.802
Serbia,Europe,other,1.562,5123.2,77.05,56.0,10.63
Sierra Leone,Africa,africa,4.728,351.7,48.87,39.0,103.459
Singapore,Asia,other,1.367,43783.1,83.71,100.0,1.916
Slovakia,Europe,oecd,1.372,15976.0,79.53,55.0,5.676
Slovenia,Europe,oecd,1.477,23109.8,82.84,49.0,3.279
Solomon Islands,Oceania,other,4.041,1193.5,70.0,19.0,34.569
Somalia,Africa,africa,6.283,114.8,53.38,38.0,100.017
South Africa,Africa,africa,2.383,7254.8,54.09,62.0,45.892
Spain,Europe,other,1.504,30542.8,84.76,78.0,3.573
Sri Lanka,Asia,other,2.235,2375.3,78.4,14.0,11.213
St Vincent and Grenadines,Caribbean,other,1.995,6171.7,74.73,50.0,20.974
Sudan,Africa,africa,4.225,1824.9,63.82,41.0,57.328
Suriname,Latin Amer,other,2.266,7018.0,74.18,70.0,19.775
Swaziland,Africa,africa,3.174,3311.2,48.54,21.0,64.622
Sweden,Europe,oecd,1.925,48906.2,83.65,85.0,2.544
Switzerland,Europe,oecd,1.536,68880.2,84.71,74.0,3.513
Syria,Asia,other,2.772,2931.5,77.72,56.0,13.764
Tajikistan,Asia,other,3.162,816.0,71.23,26.0,50.947
Tanzania,Africa,africa,5.499,516.0,60.31,27.0,53.658
TFYR Macedonia,Europe,other,1.397,4434.5,77.14,59.0,13.063
Thailand,Asia,other,1.528,4612.8,77.76,34.0,11.398
Togo,Africa,africa,3.864,524.6,59.4,44.0,67.297
Tonga,Oceania,other,3.783,3543.1,75.38,24.0,20.591
Trinidad and Tobago,Caribbean,other,1.632,15205.1,73.82,14.0,24.458
Tunisia,Africa,africa,1.909,4222.1,77.05,68.0,18.384
Turkey,Asia,oecd,2.022,10095.1,76.61,70.0,19.901
Turkmenistan,Asia,other,2.316,4587.5,69.4,50.0,48.797
Tuvalu,Oceania,other,3.7,3187.2,65.1,51.0,17.3228346456693
Uganda,Africa,africa,5.901,509.0,55.44,13.0,72.265
Ukraine,Europe,other,1.483,3035.0,74.58,69.0,11.822
United Arab Emirates,Asia,other,1.707,39624.7,78.02,84.0,6.608
United Kingdom,Europe,oecd,1.867,36326.8,82.42,80.0,4.702
United States,North America,oecd,2.077,46545.9,81.31,83.0,6.46
Uruguay,Latin Amer,other,2.043,11952.4,80.66,93.0,11.754
Uzbekistan,Asia,other,2.264,1427.3,71.9,36.0,44.481
Vanuatu,Oceania,other,3.75,2963.5,73.58,26.0,24.135
Venezuela,Latin Amer,other,2.391,13502.7,77.73,94.0,15.278
Viet Nam,Asia,other,1.75,1182.7,77.44,31.0,18.263
Yemen,Asia,other,4.938,1437.2,67.66,32.0,44.412
Zambia,Africa,africa,6.3,1237.8,50.04,36.0,80.956
Zimbabwe,Africa,africa,3.109,573.1,52.72,39.0,47.284
